المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 612/ب,27/10/2021,15132079,"1,200,000",500,2400
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 64,20/10/2021,15064735,"2,139,100",402.91,5309
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س/ المع…,قطعة 391/1,11/10/2021,14967087,"1,000,000",390,2564
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س/ المع…,قطعة 391/2,11/10/2021,14967403,"1,000,000",360,2778
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س/ المع…,قطعة 391/2,18/10/2021,15032970,"1,650,000",360,4583
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 583/ب,09/10/2021,14947845,"2,100,000",393,5344
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 1259/2/ب,21/10/2021,15078486,"6,000,000",497.46,12061
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 34/ج,19/10/2021,15024830,"2,200,000",500,4400
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 783,27/10/2021,15126480,"1,400,700",959.37,1460
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية ا…,قطعة 127/م,11/10/2021,14968867,"1,190,656",446.57,2666
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية ا…,قطعة 71/د,18/10/2021,15038931,"2,150,000",720.5,2984
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية ا…,قطعة 9/س,26/10/2021,15124448,"1,500,000",450,3333
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 109,24/10/2021,15093534,"3,750,000",660,5682
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 1170/ب,12/10/2021,14977735,"200,000",864,231
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 313/ب,18/10/2021,15032504,"163,000",900,181
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 313/ب,20/10/2021,15064780,"210,000",900,233
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 79/1,18/10/2021,15036258,"612,000",720,850
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 81/1,27/10/2021,15138674,"600,000",720,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 81/2,27/10/2021,15138712,"600,000",720,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 81/3,27/10/2021,15138726,"600,000",720,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 82/2,27/10/2021,15138773,"600,000",720,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 82/3,27/10/2021,15138846,"600,000",720,833
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 111,02/10/2021,14881148,"1,650,000",625.5,2638
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 378/ب,24/10/2021,15092062,"1,120,000",308,3636
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 110/أ,19/10/2021,15049840,"1,030,000",287.5,3583
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 263,13/10/2021,14997211,"800,000",552,1449
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 43/2,27/10/2021,15139221,"1,690,000",287.5,5878
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 669,11/10/2021,14963328,"600,000",552,1087
جده,حي/ابحر الشمالية,مخطط/286/ ب,قطعة 85/أ,14/10/2021,14999626,"1,250,000",230,5435
جده,حي/ابحر الشمالية,مخطط/286/ ب,قطعة 85/ب,14/10/2021,14999542,"1,250,000",230,5435
جده,حي/ابحر الشمالية,مخطط/286/ ب,قطعة 87/أ,19/10/2021,15050455,"1,240,000",230,5391
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 143/2,03/10/2021,14894362,"510,000",300,1700
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 217,03/10/2021,14888383,"900,000",569.66,1580
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 698,06/10/2021,14932970,"830,000",575,1443
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 161/أ,20/10/2021,15060704,"1,850,000",297.5,6218
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 367/أ,07/10/2021,14929660,"255,947",620.5,412
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 468/د,10/10/2021,14959353,"1,350,000",575,2348
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 607/د,14/10/2021,15010372,"1,800,000",625,2880
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 609/د,14/10/2021,15010505,"1,800,000",625,2880
جده,حي/ابحر الشمالية,مخطط/534/ س/ ت,قطعة 48,09/10/2021,14947688,"1,450,000",240,6042
جده,حي/الأمير فواز الجنو…,مخطط/108/ ب,قطعة 244,10/10/2021,14952734,"1,500,000",900,1667
جده,حي/الأمير فواز الجنو…,مخطط/108/ ب,قطعة 976,06/10/2021,14932996,"1,604,651",900,1783
جده,حي/الأمير فواز الجنو…,مخطط/439/ س/ ت,قطعة 209/ب,19/10/2021,15051820,"1,263,766",514.28,2457
جده,حي/الأمير فواز الشما…,مخطط/359/ ج/ س,قطعة 15,18/10/2021,15035399,"500,000",740.39,675
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 153,05/10/2021,14917775,"1,000,000",819.75,1220
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 412/1,06/10/2021,14926511,"250,000",275,909
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 641/ب,19/10/2021,15029207,"455,407",362.5,1256
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1291,31/10/2021,15168102,"700,000",400,1750
جده,حي/الاجواد,مخطط/223/ ب,قطعة 442,04/10/2021,14907843,"800,000",400,2000
جده,حي/الاجواد,مخطط/353/ ج/ س,قطعة 258,25/10/2021,14929858,"962,560",697.39,1380
جده,حي/الاصالة,مخطط/372/ ب,قطعة 561/أ,18/10/2021,15032766,"1,461,631",300,4872
جده,حي/الاصالة,مخطط/372/ ب,قطعة 757,13/10/2021,14992181,"1,600,000",600,2667
جده,حي/الاصالة,مخطط/372/ ب,قطعة 880,28/10/2021,15137932,"1,100,000",600,1833
جده,حي/الاصالة,مخطط/372/ ب,قطعة 980,26/10/2021,15113660,"3,000,000",680,4412
جده,حي/الاصالة,مخطط/372/ ب,قطعة 980,28/10/2021,15140883,"1,200,000",680,1765
جده,حي/الامواج,مخطط/251/ ب,قطعة 142/ب,20/10/2021,15065149,"750,000",345,2174
جده,حي/الامواج,مخطط/251/ ب,قطعة 332/2,13/10/2021,14990801,"400,000",420,952
جده,حي/الامواج,مخطط/251/ ب,قطعة 41,09/10/2021,14947862,"1,200,000",720,1667
جده,حي/الامواج,مخطط/251/ ب/ المعدل,قطعة 440/1,14/10/2021,15010091,"750,000",307.5,2439
جده,حي/الامواج,مخطط/420/ ج/ س,قطعة 410/أ,24/10/2021,15068904,"615,988",300,2053
جده,حي/الامواج,مخطط/420/ ج/ س,قطعة 813/ب,10/10/2021,14950042,"1,500,000",337.5,4444
جده,حي/الامير فواز بن عب…,مخطط/108/ ب,قطعة 773,06/10/2021,14932950,"1,600,000",900,1778
جده,حي/الاندلس,مخطط/3/ 407/ ع,قطعة 627/36,06/10/2021,14933839,"3,362,000",816,4120
جده,حي/الاندلس,مخطط/أخرى,قطعة بدون,19/10/2021,15052270,"20,000,000",10000,2000
جده,حي/البحرة,مخطط/ك/ 2/ 27,قطعة 322,28/10/2021,15136195,"150,000",927.87,162
جده,حي/البحرة,مخطط/ك/ 2/ 27,قطعة 611,27/10/2021,15131963,"10,000",630,16
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 157,18/10/2021,15038156,"780,000",900,867
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 159,11/10/2021,14973860,"700,000",900,778
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 159,18/10/2021,15036524,"790,000",900,878
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 427,04/10/2021,14906666,"800,000",900,889
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 799,04/10/2021,14901512,"720,000",900,800
جده,حي/البحيرات,مخطط/100/ ج/ س/ المع…,قطعة 1010/7,03/10/2021,14893850,"400,000",305.5,1309
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 597/2,24/10/2021,15092720,"700,000",463.58,1510
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 716,19/10/2021,15051947,"1,200,000",900,1333
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 144/1,21/10/2021,15078295,"725,000",449.54,1613
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 144/2,20/10/2021,15064918,"750,000",449.54,1668
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 595/1,20/10/2021,15054287,"670,000",463.55,1445
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 214/1/ج,31/10/2021,15160011,"610,000",450,1356
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 950/2/ج,25/10/2021,15109398,"620,000",450,1378
جده,حي/البحيرات,مخطط/99/ ج/ س/ المكمل,قطعة 165,03/10/2021,14893444,"100,000",675,148
جده,حي/البحيرات,مخطط/99/ ج/ س/ المكمل,قطعة 181,12/10/2021,14977504,"1,000,000",675,1481
جده,حي/البحيرات,مخطط/99/ ج/ س/ المكمل,قطعة 99,19/10/2021,15051729,"1,100,000",900,1222
جده,حي/البدو,مخطط/3/ 22/ م/ ت,قطعة 2/79,11/10/2021,14973599,"1,500,000",380,3947
جده,حي/البريكه,مخطط/خ/ 4/ 24,قطعة 32,27/10/2021,15135432,"145,000",750,193
جده,حي/البريكه,مخطط/خ/ 4/ 24,قطعة 326,29/10/2021,15154216,"25,000",745.53,34
