المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 651,2021-04-18,12513938,"ر.س.‏ 140,000",895.5,156
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 844,2021-04-22,12629064,"ر.س.‏ 1,200,000",877.5,1368
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 775,2021-04-26,13174672,"ر.س.‏ 1,290,000",672.0,1920
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 1073/ج,2021-04-04,12449319,"ر.س.‏ 750,000",625.0,1200
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 1125/2/ج,2021-04-07,12480859,"ر.س.‏ 539,500",539.5,1000
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 347/1/ج,2021-04-13,12545909,"ر.س.‏ 550,000",450.0,1222
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 347/2/ج,2021-04-13,12546067,"ر.س.‏ 550,000",450.0,1222
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 356/ج,2021-04-22,12627709,"ر.س.‏ 699,535",895.5,781
جده,حي/398/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 151,2021-10-27,15139657,"ر.س.‏ 60,000",525.0,114
جده,حي/398/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 52,2021-10-27,15139636,"ر.س.‏ 60,000",568.75,105
جده,حي/398/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 88,2021-10-27,15139651,"ر.س.‏ 60,000",585.0,103
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 520,2021-10-27,15139607,"ر.س.‏ 60,000",547.97,109
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 547,2021-10-27,15139552,"ر.س.‏ 60,000",520.0,115
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 615,2021-10-27,15139630,"ر.س.‏ 60,000",566.5,106
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 612/ب,2021-10-27,15132079,"ر.س.‏ 1,200,000",500.0,2400
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 64,2021-10-20,15064735,"ر.س.‏ 2,139,100",402.91,5309
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س/ المع…,قطعة 391/1,2021-10-11,14967087,"ر.س.‏ 1,000,000",390.0,2564
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س/ المع…,قطعة 391/2,2021-10-11,14967403,"ر.س.‏ 1,000,000",360.0,2778
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س/ المع…,قطعة 391/2,2021-10-18,15032970,"ر.س.‏ 1,650,000",360.0,4583
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 583/ب,2021-10-09,14947845,"ر.س.‏ 2,100,000",393.0,5344
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 1259/2/ب,2021-10-21,15078486,"ر.س.‏ 6,000,000",497.46,12061
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 34/ج,2021-10-19,15024830,"ر.س.‏ 2,200,000",500.0,4400
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 783,2021-10-27,15126480,"ر.س.‏ 1,400,700",959.37,1460
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية ا…,قطعة 127/م,2021-10-11,14968867,"ر.س.‏ 1,190,656",446.57,2666
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية ا…,قطعة 71/د,2021-10-18,15038931,"ر.س.‏ 2,150,000",720.5,2984
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية ا…,قطعة 9/س,2021-10-26,15124448,"ر.س.‏ 1,500,000",450.0,3333
جده,حي/أم حبلين,مخطط/421/ ج/ س,قطعة 109,2021-10-24,15093534,"ر.س.‏ 3,750,000",660.0,5682
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 1170/ب,2021-10-12,14977735,"ر.س.‏ 200,000",864.0,231
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 313/ب,2021-10-18,15032504,"ر.س.‏ 163,000",900.0,181
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 313/ب,2021-10-20,15064780,"ر.س.‏ 210,000",900.0,233
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 79/1,2021-10-18,15036258,"ر.س.‏ 612,000",720.0,850
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 81/1,2021-10-27,15138674,"ر.س.‏ 600,000",720.0,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 81/2,2021-10-27,15138712,"ر.س.‏ 600,000",720.0,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 81/3,2021-10-27,15138726,"ر.س.‏ 600,000",720.0,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 82/2,2021-10-27,15138773,"ر.س.‏ 600,000",720.0,833
جده,حي/ابحر الشمالية,مخطط/1097/ س/ ت,قطعة 82/3,2021-10-27,15138846,"ر.س.‏ 600,000",720.0,833
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 111,2021-10-02,14881148,"ر.س.‏ 1,650,000",625.5,2638
جده,حي/ابحر الشمالية,مخطط/182/ ج/ س,قطعة 378/ب,2021-10-24,15092062,"ر.س.‏ 1,120,000",308.0,3636
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 110/أ,2021-10-19,15049840,"ر.س.‏ 1,030,000",287.5,3583
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 263,2021-10-13,14997211,"ر.س.‏ 800,000",552.0,1449
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 43/2,2021-10-27,15139221,"ر.س.‏ 1,690,000",287.5,5878
جده,حي/ابحر الشمالية,مخطط/230/ ب,قطعة 669,2021-10-11,14963328,"ر.س.‏ 600,000",552.0,1087
جده,حي/ابحر الشمالية,مخطط/286/ ب,قطعة 85/أ,2021-10-14,14999626,"ر.س.‏ 1,250,000",230.0,5435
جده,حي/ابحر الشمالية,مخطط/286/ ب,قطعة 85/ب,2021-10-14,14999542,"ر.س.‏ 1,250,000",230.0,5435
جده,حي/ابحر الشمالية,مخطط/286/ ب,قطعة 87/أ,2021-10-19,15050455,"ر.س.‏ 1,240,000",230.0,5391
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 143/2,2021-10-03,14894362,"ر.س.‏ 510,000",300.0,1700
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 217,2021-10-03,14888383,"ر.س.‏ 900,000",569.66,1580
جده,حي/ابحر الشمالية,مخطط/308/ ب/ 1402,قطعة 698,2021-10-06,14932970,"ر.س.‏ 830,000",575.0,1443
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 161/أ,2021-10-20,15060704,"ر.س.‏ 1,850,000",297.5,6218
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 367/أ,2021-10-07,14929660,"ر.س.‏ 255,947",620.5,412
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 468/د,2021-10-10,14959353,"ر.س.‏ 1,350,000",575.0,2348
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 607/د,2021-10-14,15010372,"ر.س.‏ 1,800,000",625.0,2880
